Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.963909,0.932161,0.856813,0.8929,0.98263,0.261812,43.652396,30,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.962693,0.964578,0.817552,0.885,0.981022,0.142447,69.342341,30,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.961882,0.94723,0.829099,0.884236,0.974957,0.196051,57.805454,30,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.961476,0.904306,0.872979,0.888367,0.980011,0.262042,43.602929,30,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.96026,0.937337,0.829099,0.879902,0.982319,0.143417,69.133456,30,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.96026,0.919799,0.847575,0.882212,0.9795,0.181951,60.840158,30,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.959854,0.956284,0.808314,0.876095,0.979373,0.137946,70.31096,30,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.959448,0.95122,0.810624,0.875312,0.978552,0.144032,69.001157,30,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.959043,0.930052,0.829099,0.876679,0.981867,0.234365,49.559594,30,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.958637,0.953425,0.803695,0.87218,0.98362,0.142391,69.354421,30,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.958232,0.936508,0.817552,0.872996,0.974221,0.162239,65.082657,30,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,233,0.957826,0.955679,0.796767,0.869018,0.969912,0.167013,64.055168,30,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,233,0.956204,0.950139,0.792148,0.86398,0.971691,0.164235,64.652975,30,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.956204,0.965616,0.778291,0.861893,0.978866,0.147893,68.170136,30,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.955393,0.932976,0.803695,0.863524,0.976963,0.145192,68.751596,30,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954177,0.973373,0.759815,0.853437,0.978031,0.150027,67.710983,30,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.952555,0.959302,0.762125,0.849421,0.97781,0.157996,65.995747,30,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.952149,0.961877,0.757506,0.847545,0.976605,0.152851,67.10319,30,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.949311,0.920765,0.778291,0.843554,0.977228,0.141571,69.530867,30,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,233,0.948094,0.913279,0.778291,0.840399,0.970655,0.169495,63.520914,30,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.946472,0.899204,0.78291,0.837037,0.97015,0.16111,65.325535,30,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,233,0.943228,0.897019,0.764434,0.825436,0.968457,0.166358,64.196235,30,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.938767,0.881081,0.752887,0.811955,0.970988,0.170164,63.377066,30,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.928629,0.876833,0.690531,0.77261,0.961001,0.18661,59.837511,30,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,233,0.923763,0.870091,0.665127,0.753927,0.95789,0.202445,56.42952,30,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896594,0.754286,0.6097,0.67433,0.930887,0.347457,25.219752,30,0.03,0.1
